,uf,cnae_grupo,contagem,seq,flag,contagem_ttl,%,flag_rede
94,PI,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",242,7,0,6148,0.039362394274560834,0
95,PI,"Comércio varejista de produtos alimentícios, bebidas e fumo",326,5,0,6148,0.05302537410540013,0
96,PI,Outras atividades de serviços pessoais,341,4,0,6148,0.05546519193233572,0
97,PI,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,235,8,0,6148,0.03822381262199089,0
98,PI,Atividades de associações de defesa de direitos sociais,318,6,0,6148,0.05172413793103448,0
99,PI,Atividades de organizações associativas não especificadas anteriormente,211,9,0,6148,0.03432010409889395,0
100,PI,Outros,2824,11,0,6148,0.45933636955107354,0
101,PE,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,1969,1,0,20539,0.09586640050635377,0
102,PE,Restaurantes e outros serviços de alimentação e bebidas,1418,2,0,20539,0.06903938848045182,0
103,PE,"Comércio varejista de produtos alimentícios, bebidas e fumo",1069,4,0,20539,0.052047324601976724,0
104,PE,Outras atividades de serviços pessoais,1244,3,0,20539,0.060567700472272265,0
105,PE,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,720,5,0,20539,0.03505526072350163,0
106,PE,Comércio varejista não-especializado,621,8,0,20539,0.030235162374020158,0
107,PE,Outras atividades de ensino,655,6,0,20539,0.03189054968596329,0
108,PE,"Serviços de catering, bufê e outros serviços de comida preparada",538,10,0,20539,0.026194069818394273,0
109,PE,Outros,11062,11,0,20539,0.5385851307269098,0
110,PB,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,933,1,0,9632,0.09686461794019934,0
111,PB,Comércio varejista não-especializado,527,5,0,9632,0.05471345514950166,0
112,PB,Restaurantes e outros serviços de alimentação e bebidas,553,4,0,9632,0.057412790697674417,0
113,PB,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,471,6,0,9632,0.048899501661129566,0
114,PB,"Comércio varejista de produtos alimentícios, bebidas e fumo",584,2,0,9632,0.0606312292358804,0
115,PB,Outras atividades de serviços pessoais,582,3,0,9632,0.06042358803986711,0
116,PB,Atividades de associações de defesa de direitos sociais,311,7,0,9632,0.032288205980066445,0
117,PB,Outros,4831,11,0,9632,0.5015573089700996,0
118,PA,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,1321,1,0,12428,0.10629224332153202,0
119,PA,Restaurantes e outros serviços de alimentação e bebidas,994,2,0,12428,0.07998068876729965,0
120,PA,"Comércio varejista de produtos alimentícios, bebidas e fumo",748,3,0,12428,0.06018667524943676,0
121,PA,Outras atividades de serviços pessoais,719,4,0,12428,0.05785323463147731,0
122,PA,Comércio varejista não-especializado,621,5,0,12428,0.049967814612166074,0
123,PA,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,592,6,0,12428,0.04763437399420663,0
124,PA,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",370,10,0,12428,0.029771483746379144,0
125,PA,Publicidade,446,8,0,12428,0.03588670743482459,0
126,PA,Atividades de associações de defesa de direitos sociais,461,7,0,12428,0.03709365947859672,0
127,PA,Outros,5783,11,0,12428,0.46532024460894755,0
128,MT,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,1092,1,0,11671,0.09356524719389941,0
129,MT,Restaurantes e outros serviços de alimentação e bebidas,864,2,0,11671,0.0740296461314369,0
130,MT,Outras atividades de serviços pessoais,833,3,0,11671,0.07137348984662839,0
